ID,Area,Industry,Industry Code,Occupation,SOC Occupation Code,Wage Type,Year,Measure Names,State Name,Year,Measure Values
699864231,Michigan,"Total, All Industries",000000,"Total, All Occupations",00-0000,Hourly wage,2025,ExperienceWage,Michigan,2025,38.68
699864231,Michigan,"Total, All Industries",000000,"Total, All Occupations",00-0000,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,53.2
699864231,Michigan,"Total, All Industries",000000,"Total, All Occupations",00-0000,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,37.46
699864231,Michigan,"Total, All Industries",000000,"Total, All Occupations",00-0000,Hourly wage,2025,Median Wage,Michigan,2025,23.69
699864231,Michigan,"Total, All Industries",000000,"Total, All Occupations",00-0000,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,17.82
699864231,Michigan,"Total, All Industries",000000,"Total, All Occupations",00-0000,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,14.56
699864231,Michigan,"Total, All Industries",000000,"Total, All Occupations",00-0000,Hourly wage,2025,Entry Level Wage,Michigan,2025,16.04
699864231,Michigan,"Total, All Industries",000000,"Total, All Occupations",00-0000,Hourly wage,2025,Mean Wage,Michigan,2025,31.21
699864231,Michigan,"Total, All Industries",000000,"Total, All Occupations",00-0000,Hourly wage,2025,Total Employment,Michigan,2025,4403730
699864233,Michigan,"Total, All Industries",000000,Management Occupations,11-0000,Hourly wage,2025,ExperienceWage,Michigan,2025,78.71
699864233,Michigan,"Total, All Industries",000000,Management Occupations,11-0000,Hourly wage,2025,Wage at 90 Percentile,Michigan,2025,103.92
699864233,Michigan,"Total, All Industries",000000,Management Occupations,11-0000,Hourly wage,2025,Wage at 75 Percentile,Michigan,2025,79.14
699864233,Michigan,"Total, All Industries",000000,Management Occupations,11-0000,Hourly wage,2025,Median Wage,Michigan,2025,54.83
699864233,Michigan,"Total, All Industries",000000,Management Occupations,11-0000,Hourly wage,2025,Wage at 25 Percentile,Michigan,2025,37.99
699864233,Michigan,"Total, All Industries",000000,Management Occupations,11-0000,Hourly wage,2025,Wage at 10 Percentile,Michigan,2025,27.98
699864233,Michigan,"Total, All Industries",000000,Management Occupations,11-0000,Hourly wage,2025,Entry Level Wage,Michigan,2025,31.58
699864233,Michigan,"Total, All Industries",000000,Management Occupations,11-0000,Hourly wage,2025,Mean Wage,Michigan,2025,63.16
699864233,Michigan,"Total, All Industries",000000,Management Occupations,11-0000,Hourly wage,2025,Total Employment,Michigan,2025,298120
699864235,Michigan,"Total, All Industries",000000,Chief Executives,11-1011,Hourly wage,2025,ExperienceWage,Michigan,2025,184.82
